sampledate,julian_day,sample_site,water_depth,poc,dic,doc,ch4,co2
2016-04-15,106,Deep Hole,3,1.936,45.35,5.01,NA,NA
2016-04-15,106,Deep Hole,10,1.613333333,45.45,4.9,NA,NA
2016-04-15,106,Deep Hole,12,1.828444444,44.92,4.95,NA,NA
2016-04-15,106,Deep Hole,14,1.452,45.31,4.9,NA,NA
2016-04-15,106,Deep Hole,20,1.936,45.42,5.01,NA,NA
2016-04-22,113,Deep Hole,3,2.742666667,43.98,5,NA,NA
2016-04-22,113,Deep Hole,10,0.726,44.57,4.57,NA,NA
2016-04-22,113,Deep Hole,12,0.766333333,44.83,4.42,NA,NA
2016-04-22,113,Deep Hole,14,0.685666667,44.86,4.59,NA,NA
2016-04-22,113,Deep Hole,20,0.5808,45.09,4.52,NA,NA
2016-05-06,127,Deep Hole,3,1.000266667,44.81,4.79,NA,NA
2016-05-06,127,Deep Hole,10,0.5808,44.83,4.66,NA,NA
2016-05-06,127,Deep Hole,12,0.548533333,44.86,4.69,NA,NA
2016-05-06,127,Deep Hole,14,0.691428571,44.93,4.68,NA,NA
2016-05-06,127,Deep Hole,20,0.847,45.36,4.68,NA,NA
2016-05-12,133,Deep Hole,3,1.871466667,45.04,4.94,NA,NA
2016-05-12,133,Deep Hole,10,0.941111111,44.81,4.99,NA,NA
2016-05-12,133,Deep Hole,12,1.452,44.64,4.83,NA,NA
2016-05-12,133,Deep Hole,14,0.53083871,45.1,4.79,NA,NA
2016-05-12,133,Deep Hole,20,0.838933333,45.3,4.77,NA,NA
2016-05-20,141,Deep Hole,3,0.914222222,44.34,5.05,NA,NA
2016-05-20,141,Deep Hole,10,1.21,44.79,4.99,NA,NA
2016-05-20,141,Deep Hole,12,0.806666667,44.86,4.99,NA,NA
2016-05-20,141,Deep Hole,14,0.510888889,44.78,5.19,NA,NA
2016-05-20,141,Deep Hole,20,0.779777778,46.68,5.19,NA,NA
2016-05-23,144,Deep Hole,3,0.618444444,43.94,5.02,NA,NA
2016-05-23,144,Deep Hole,10,1.226133333,45.17,5.05,NA,NA
2016-05-23,144,Deep Hole,12,0.968,45.56,5.06,NA,NA
2016-05-23,144,Deep Hole,14,0.699111111,46.14,4.97,NA,NA
2016-05-23,144,Deep Hole,20,0.484,46.77,4.96,NA,NA
2016-06-01,153,Deep Hole,3,0.887333333,43.78,5.4,0.257423894,19.85494651
2016-06-01,153,Deep Hole,10,0.726,44.36,5.14,0.8223239,43.66915651
2016-06-01,153,Deep Hole,12,0.484,44.81,5.15,0.600297792,38.21463161
2016-06-01,153,Deep Hole,14,0.726,43.41,5.13,0.870281388,60.85995449
2016-06-01,153,Deep Hole,20,0.510888889,47.41,5.24,0.297070762,110.2064791
2016-06-06,158,Deep Hole,3,1.183111111,42.19,5.4,0.657275277,15.80850588
2016-06-06,158,Deep Hole,10,0.833555556,46.15,5.16,1.391255291,95.23167453
2016-06-06,158,Deep Hole,12,0.860444444,45.79,5.14,1.018692082,97.53625841
2016-06-06,158,Deep Hole,14,0.618444444,46.49,5.05,0.551491348,110.0106302
2016-06-06,158,Deep Hole,20,0.645333333,46.88,5.05,0.333088694,162.2699341
2016-06-13,165,Deep Hole,3,0.860444444,42.75,5.4,1.618043447,21.6151794
2016-06-13,165,Deep Hole,10,0.699111111,46.01,5.13,1.96984904,116.4162118
2016-06-13,165,Deep Hole,12,0.457111111,46.72,5.18,2.699181201,223.8658353
2016-06-13,165,Deep Hole,14,0.510888889,47.2,4.99,1.595277498,236.193468
2016-06-13,165,Deep Hole,20,1.263777778,48.19,5.17,15.40420655,457.4581424
2016-06-21,173,Deep Hole,3,0.752888889,42.29,5.44,0.438784259,23.20124323
2016-06-21,173,Deep Hole,10,1.936,46.44,5.26,1.166976623,179.1744475
2016-06-21,173,Deep Hole,12,0.484,47.13,5.01,0.614328638,222.8483705
2016-06-21,173,Deep Hole,14,0.484,47.64,5.23,0.500537878,316.2395296
2016-06-21,173,Deep Hole,20,0.242,48.71,5.22,10.25626952,426.6833389
2016-06-27,177,Deep Hole,3,1.097066667,42.42,5.43,0.33146852,22.48435235
2016-06-27,177,Deep Hole,10,0.699111111,46.58,5.02,0.628458578,236.5190149
2016-06-27,177,Deep Hole,12,0.860444444,47.24,5.07,0.738869565,159.5354398
2016-06-27,177,Deep Hole,14,0.403333333,48.38,4.96,1.35713326,407.6585411
2016-06-27,177,Deep Hole,20,0.322666667,49.21,5.19,24.32813281,501.6361304
2016-07-06,187,Deep Hole,3,1.19847619,39.72,5.01,0.682310261,57.27934648
2016-07-06,187,Deep Hole,10,0.903466667,47.2,4.79,0.946820641,600.0865078
2016-07-06,187,Deep Hole,12,1.21,47.9,4.97,0.390619468,697.0254826
2016-07-06,187,Deep Hole,14,1.382857143,40.69,5.05,4.088264974,601.3957142
2016-07-06,187,Deep Hole,20,1.492333333,46.44,4.98,0.721115817,56.99668167
2016-07-12,193,Deep Hole,3,1.0648,39.17,4.97,0.687997264,69.2922282
2016-07-12,193,Deep Hole,10,1.032533333,39.46,4.97,1.166294016,527.0786499
2016-07-12,193,Deep Hole,12,0.376444444,48.78,4.83,23.7885134,1259.713827
2016-07-12,193,Deep Hole,14,0.403333333,49.24,4.92,85.26831946,1415.141052
2016-07-12,193,Deep Hole,20,0.484,51.05,5.08,274.1564351,1729.447866
2016-07-19,202,Deep Hole,3,1.191384615,38.44,5.24,0.386928872,11.97640069
2016-07-19,202,Deep Hole,10,0.762666667,46.15,5.01,0.157896643,118.756808
2016-07-19,202,Deep Hole,12,0.762666667,46.56,4.93,0.518829396,104.8876437
2016-07-19,202,Deep Hole,14,0.909333333,48.15,4.83,0.741581838,21.0311227
2016-07-19,202,Deep Hole,20,0.564666667,50.45,4.87,0.071534573,201.8715537
2016-07-26,209,Deep Hole,3,1.452,36.67,4.84,0.337526449,10.49644063
2016-07-26,209,Deep Hole,10,0.711764706,44.41,4.73,1.171222255,79.71690202
2016-07-26,209,Deep Hole,12,1.336761905,44.07,4.83,0.328780691,10.94240815
2016-07-26,209,Deep Hole,14,0.726,47.22,4.76,0.210348333,195.5182713
2016-07-26,209,Deep Hole,20,0.9075,38.49,4.81,40.48657843,108.4953002
2016-08-02,216,Deep Hole,3,1.21,37.42,4.84,0.321492182,10.32186219
2016-08-02,216,Deep Hole,10,0.709866667,43.96,4.8,2.796077919,99.51249465
2016-08-02,216,Deep Hole,12,1.027265306,38.47,7.83,0.384092465,10.58610888
2016-08-02,216,Deep Hole,14,0.847,45.93,4.74,28.26306221,152.4474313
2016-08-02,216,Deep Hole,20,1.613333333,49.58,4.85,91.61817764,222.4478835
2016-08-08,221,Deep Hole,3,1.532666667,36.57,4.98,0.460033567,13.43761824
2016-08-08,221,Deep Hole,10,0.968,40.5,4.98,5.340175637,66.66887281
2016-08-08,221,Deep Hole,12,0.645333333,47.75,4.7,39.22494344,170.0042468
2016-08-08,221,Deep Hole,14,0.645333333,48.7,4.76,74.80597016,215.4941529
2016-08-08,221,Deep Hole,20,0.6776,51.75,5.03,114.615193,325.0688301
2016-08-16,229,Deep Hole,3,1.290666667,36.48,4.94,0.517352663,18.20410867
2016-08-16,229,Deep Hole,10,0.618444444,42.73,4.69,9.991328821,153.6663184
2016-08-16,229,Deep Hole,12,0.564666667,48.52,4.82,58.98712802,270.6335392
2016-08-16,229,Deep Hole,14,0.457111111,49.6,4.77,89.76231977,293.5226578
2016-08-16,229,Deep Hole,20,0.430222222,52.11,5.01,131.9195538,461.0674943
2016-08-23,236,Deep Hole,3,1.032533333,37.32,4.52,1.159343903,32.01403923
2016-08-23,236,Deep Hole,10,0.6776,45.6,4.38,29.65318492,254.2889984
2016-08-23,236,Deep Hole,12,0.806666667,48.31,4.53,113.7159677,515.4879225
2016-08-23,236,Deep Hole,14,0.704,43.52,4.65,67.72245462,372.9686998
2016-08-23,236,Deep Hole,20,0.618444444,52.99,4.63,149.7376319,668.1302109
2016-08-30,243,Deep Hole,3,0.935733333,37.45,4.63,0.350903137,19.88760759
2016-08-30,243,Deep Hole,10,0.8712,42.12,4.55,2.486136088,147.365812
2016-08-30,243,Deep Hole,12,0.618444444,47.78,4.45,44.49978342,293.4138875
2016-08-30,243,Deep Hole,14,0.564666667,49.36,4.5,57.74726473,368.0867938
2016-08-30,243,Deep Hole,20,0.537777778,52.8,4.66,78.50244602,416.5299906
2016-09-08,252,Deep Hole,3,0.7744,37.83,4.64,0.868022421,69.90235737
2016-09-08,252,Deep Hole,10,0.7744,38.8,4.66,1.104706259,289.7486136
2016-09-08,252,Deep Hole,12,0.613066667,49.3,4.42,122.9952289,1094.629114
2016-09-08,252,Deep Hole,14,0.903466667,49.21,4.55,74.22959187,743.2414038
2016-09-08,252,Deep Hole,20,0.7744,50.46,4.74,180.6524752,1861.39476
2016-09-12,256,Deep Hole,3,0.935733333,37.77,4.6,0.777684212,106.5849214
2016-09-12,256,Deep Hole,10,0.7865,37.67,4.55,0.738999643,122.2239406
2016-09-12,256,Deep Hole,12,0.591555556,48.11,4.36,83.26671789,1654.774585
2016-09-12,256,Deep Hole,14,0.510888889,50.02,4.37,116.4500476,1822.729071
2016-09-12,256,Deep Hole,20,0.591555556,52.82,4.6,182.1829559,2525.40497
2016-10-04,278,Deep Hole,3,1.129333333,41.37,4.56,0.070547454,17.89634665
2016-10-04,278,Deep Hole,10,0.968,40.99,4.59,0.049502435,15.91301726
2016-10-04,278,Deep Hole,12,0.887333333,40.95,4.7,0.168701568,16.63840861
2016-10-04,278,Deep Hole,14,0.806666667,48.95,4.5,186.3985314,165.5593344
2016-10-04,278,Deep Hole,20,0.5808,55.92,4.87,NA,NA
2016-10-10,284,Deep Hole,3,1.21,41.77,4.59,0.106404722,22.77172231
2016-10-10,284,Deep Hole,10,1.156222222,41.29,4.54,0.051797441,24.96791469
2016-10-10,284,Deep Hole,12,1.021777778,41.3,4.65,0.064046336,26.6751408
2016-10-10,284,Deep Hole,14,0.752888889,41.93,4.69,0.116773554,27.09523859
2016-10-10,284,Deep Hole,20,0.457111111,54.87,4.79,569.4100471,359.829784
2016-10-17,291,Deep Hole,3,1.048666667,42.21,4.62,0.130295966,24.91575665
2016-10-17,291,Deep Hole,10,0.537777778,42.15,4.74,0.169895275,25.50576731
2016-10-17,291,Deep Hole,12,0.645333333,42.47,4.65,0.143802539,27.33436722
2016-10-17,291,Deep Hole,14,0.537777778,42.48,4.61,0.235241747,31.61123831
2016-10-17,291,Deep Hole,20,,56.2,4.72,681.7901162,352.447379
2016-10-25,299,Deep Hole,3,1.021777778,42.65,4.73,0.645302265,25.13074488
2016-10-25,299,Deep Hole,10,1.290666667,42.73,4.72,1.013874074,47.51412166
2016-10-25,299,Deep Hole,12,0.537777778,42.93,4.74,1.623361547,57.26801174
2016-10-25,299,Deep Hole,14,1.075555556,42.66,4.74,1.581697898,59.84741274
2016-10-25,299,Deep Hole,20,0.726,57.06,4.75,669.8627923,726.1468982
2016-11-01,306,Deep Hole,3,1.021777778,43.37,4.49,0.194392065,49.8776219
2016-11-01,306,Deep Hole,10,0.968,42.82,4.56,0.216339475,57.15587207
2016-11-01,306,Deep Hole,12,1.021777778,42.84,4.65,0.09540735,61.26372342
2016-11-01,306,Deep Hole,14,0.887333333,42.68,4.55,0.111093107,60.26903332
2016-11-01,306,Deep Hole,20,1.021777778,51.33,4.58,297.1972257,390.6947917
2016-11-14,319,Deep Hole,3,1.048666667,45.35,4.77,0.459372739,143.7119564
2016-11-14,319,Deep Hole,10,0.968,45.65,4.92,0.391336733,118.663687
2016-11-14,319,Deep Hole,12,1.021777778,45.35,4.75,0.365965447,117.9967447
2016-11-14,319,Deep Hole,14,0.968,45.43,4.81,0.257881491,73.50744203
2016-11-14,319,Deep Hole,20,0.806666667,45.05,4.65,NA,70.84659366
2016-04-15,106,Point,0.1,1.075555556,45.06,4.85,NA,NA
2016-04-15,106,Point,2,1.220521739,45.12,4.95,NA,NA
2016-04-22,113,Point,0.1,4.356,43.44,4.85,NA,NA
2016-04-22,113,Point,2,1.315728155,44.26,4.7,NA,NA
2016-05-06,127,Point,0.1,0.7744,44.77,4.86,NA,NA
2016-05-06,127,Point,2,3.065333333,44.95,4.98,NA,NA
2016-05-12,133,Point,0.1,1.398222222,43.91,4.63,NA,NA
2016-05-12,133,Point,2,1.116923077,44.29,4.71,NA,NA
2016-05-20,141,Point,0.1,0.484,44.69,5.02,NA,NA
2016-05-20,141,Point,2,0.537777778,44.43,5.02,NA,NA
2016-05-23,144,Point,0.1,0.537777778,44.3,5.11,NA,NA
2016-05-23,144,Point,2,0.833555556,43.83,5.01,NA,NA
2016-06-01,153,Point,0.1,0.726,42.69,5.18,0.201563962,12.0387898
2016-06-01,153,Point,2,0.806666667,42.79,5.2,0.214243618,13.63021557
2016-06-06,158,Point,0.1,1.075555556,43.33,5.38,1.695592096,20.21421143
2016-06-06,158,Point,2,1.774666667,43.05,5.41,1.238580234,23.41592898
2016-06-13,165,Point,0.1,0.591555556,42.43,5.16,2.258619883,26.20898704
2016-06-13,165,Point,2,0.564666667,42.57,5.29,2.190129699,28.29245543
2016-06-21,173,Point,0.1,0.699111111,41.98,5.18,0.788458357,28.49992733
2016-06-21,173,Point,2,0.779777778,42.34,5.26,0.758482463,28.83389485
2016-06-27,177,Point,0.1,1.193866667,42.59,5.09,1.195179687,33.65436807
2016-06-27,177,Point,2,1.331,42.42,5.18,0.941438842,33.23943286
2016-07-06,187,Point,0.1,1.183111111,40.19,4.9,1.466210825,56.2492507
2016-07-06,187,Point,2,1.505777778,40.01,4.89,0.884646775,61.39220301
2016-07-12,193,Point,0.1,1.183111111,39.06,4.91,1.035789447,66.79522334
2016-07-12,193,Point,2,1.1616,39.17,5,0.76396261,69.22385097
2016-07-19,202,Point,0.1,1.000266667,38.42,4.96,0.456201521,10.8008573
2016-07-19,202,Point,2,1.129333333,38.31,4.99,0.339155493,10.19277422
2016-07-26,209,Point,0.1,1.152380952,36.32,4.9,0.944960524,11.15136234
2016-07-26,209,Point,2,1.152380952,36.63,4.95,2.027802881,13.04371582
2016-08-02,216,Point,0.1,0.898857143,36.28,4.82,0.525185233,9.559969595
2016-08-02,216,Point,2,1.048666667,36.56,4.84,0.513979459,11.2382647
2016-08-08,221,Point,0.1,1.521142857,36.61,4.82,0.719601281,11.77754996
2016-08-08,221,Point,2,1.475047619,36.46,4.86,0.56852539,12.72043699
2016-08-16,229,Point,0.1,1.250333333,36.75,4.89,0.607555082,15.07073432
2016-08-16,229,Point,2,1.21,36.68,4.79,0.651966163,15.27910955
2016-08-23,236,Point,0.1,1.097066667,37.88,4.56,1.222224734,34.12740302
2016-08-23,236,Point,2,1.032533333,38.04,4.4,0.70115931,43.61404451
2016-08-30,243,Point,0.1,0.838933333,37.48,4.52,0.460514031,20.83034822
2016-08-30,243,Point,2,0.968,37.54,4.53,0.396344361,22.36315858
2016-09-08,252,Point,0.1,0.838933333,37.85,4.56,1.244369414,73.83726801
2016-09-08,252,Point,2,0.806666667,37.47,4.69,1.462346959,78.34107515
2016-04-15,106,UBay,0.1,1.21,45.09,4.98,NA,NA
2016-04-15,106,UBay,2,1.290666667,45.45,5.15,NA,NA
2016-04-22,113,UBay,0.1,5.324,43.59,4.96,NA,NA
2016-04-22,113,UBay,2,5.324,43.46,5.06,NA,NA
2016-05-06,127,UBay,0.1,0.656857143,44.79,4.79,NA,NA
2016-05-06,127,UBay,2,0.838933333,44.71,4.84,NA,NA
2016-05-12,133,UBay,0.1,1.613333333,42.97,4.76,NA,NA
2016-05-12,133,UBay,2,1.976333333,44,4.86,NA,NA
2016-05-20,141,UBay,0.1,0.591555556,44.15,5.42,NA,NA
2016-05-20,141,UBay,2,1.371333333,44.52,5.15,NA,NA
2016-05-23,144,UBay,0.1,0.752888889,44.07,4.94,NA,NA
2016-05-23,144,UBay,2,1.021777778,44.28,4.97,NA,NA
2016-06-01,153,UBay,0.1,0.726,43.26,5.15,0.053783006,10.07059462
2016-06-01,153,UBay,2,0.833555556,42.44,5.23,0.421621524,8.014305289
2016-06-06,158,UBay,0.1,1.102444444,42.37,5.44,2.007022066,15.22691055
2016-06-06,158,UBay,2,2.678133333,43.24,5.96,3.808996161,144.595254
2016-06-13,165,UBay,0.1,0.484,43.34,5.35,3.591179735,41.1051143
2016-06-13,165,UBay,2,1.048666667,43.53,5.51,3.067790232,43.43868724
2016-06-21,173,UBay,0.1,0.564666667,42.97,5.44,0.841701682,28.70717544
2016-06-21,173,UBay,2,0.672222222,42.78,5.37,0.72899053,28.93987202
2016-06-27,177,UBay,0.1,0.854117647,42.09,5.23,1.026351343,29.61297964
2016-06-27,177,UBay,2,0.911058824,41.63,5.18,0.927049112,29.51992136
2016-07-06,187,UBay,0.1,1.398222222,40.08,4.88,1.3657625,61.83648016
2016-07-06,187,UBay,2,1.218962963,39.78,4.92,1.16811145,69.05718604
2016-07-12,193,UBay,0.1,1.0648,39.17,4.91,1.175534132,75.36736716
2016-07-12,193,UBay,2,1.1616,39.39,4.98,1.106120576,86.4829245
2016-07-19,202,UBay,0.1,1.075555556,38.48,4.99,0.56646778,10.89913631
2016-07-19,202,UBay,2,1.111407407,38.58,5.04,0.2858923,10.27779522
2016-07-26,209,UBay,0.1,1.290666667,36.33,4.85,0.847676427,11.75558696
2016-07-26,209,UBay,2,1.882222222,36.33,4.88,0.52954489,12.15612965
2016-08-02,216,UBay,0.1,1.129333333,38.15,4.9,1.279091132,15.84809451
2016-08-02,216,UBay,2,1.218962963,37.47,4.75,0.504429558,12.37485577
2016-08-08,221,UBay,0.1,1.559555556,36.27,4.92,0.736015686,10.49323075
2016-08-08,221,UBay,2,1.613333333,36.17,4.96,0.637957266,10.91652728
2016-08-16,229,UBay,0.1,1.21,36.45,4.82,0.930215959,16.13831264
2016-08-16,229,UBay,2,1.147259259,36.56,4.82,0.870494239,13.18215406
2016-08-23,236,UBay,0.1,0.903466667,37.3,4.54,1.453859143,31.13725831
2016-08-23,236,UBay,2,1.000266667,37.35,4.56,1.280419546,31.66156759
2016-08-30,243,UBay,0.1,0.7744,37.26,4.53,0.807555032,25.08535281
2016-08-30,243,UBay,2,0.349555556,37.14,4.58,0.660708495,21.7552918
2016-09-08,252,UBay,0.1,0.8712,37.59,4.59,1.308120462,83.72216874
2016-09-08,252,UBay,2,1.000266667,37.53,4.6,1.205271292,83.59459487
2016-04-15,106,Yahara,0.1,1.828444444,45.3,4.85,NA,NA
2016-04-15,106,Yahara,2,2.043555556,45.78,4.92,NA,NA
2016-04-22,113,Yahara,0.1,1.129333333,44.22,4.62,NA,NA
2016-04-22,113,Yahara,2,1.290666667,44.59,4.83,NA,NA
2016-05-06,127,Yahara,0.1,1.183111111,45.02,4.59,NA,NA
2016-05-06,127,Yahara,1.5,2.151111111,44.38,4.74,NA,NA
2016-05-12,133,Yahara,0.1,1.720888889,43.58,4.6,NA,NA
2016-05-12,133,Yahara,2,1.532666667,43.96,4.66,NA,NA
2016-05-20,141,Yahara,0.1,0.484,44.03,5.1,NA,NA
2016-05-20,141,Yahara,2,0.699111111,43.83,5,NA,NA
2016-05-23,144,Yahara,0.1,0.403333333,43.84,5.03,NA,NA
2016-05-23,144,Yahara,2,1.398222222,43.49,5.08,NA,NA
2016-06-01,153,Yahara,0.1,2.258666667,42.69,5.19,0.418863251,13.52436931
2016-06-01,153,Yahara,2,2.194133333,42.62,5.33,0.374314821,14.17457702
2016-06-08,160,Yahara,0.1,0.752888889,42.94,5.43,1.195165967,14.10912151
2016-06-08,160,Yahara,2,0.927666667,46,5.43,3.210015616,19.0396558
2016-06-13,165,Yahara,0.1,0.887333333,42.66,5.31,2.584512161,25.80843329
2016-06-13,165,Yahara,2,1.613333333,41.99,5.22,2.884158903,24.34746572
2016-06-21,173,Yahara,0.1,2.16647619,42.43,5.12,1.703936777,23.04471775
2016-06-21,173,Yahara,2,3.495555556,42.39,5.33,1.572358532,25.34989545
2016-06-27,177,Yahara,0.1,2.452266667,41.9,5.22,1.306681906,22.08079764
2016-06-27,177,Yahara,2,2.774933333,41.41,5.28,0.830867808,21.8301244
2016-07-06,187,Yahara,0.1,5.162666667,40.86,5.33,2.207222279,49.94176958
2016-07-06,187,Yahara,2,5.592888889,40.51,5.14,1.878626081,57.0399595
2016-07-12,193,Yahara,0.1,4.598,40.75,5.17,2.897141656,118.2670805
2016-07-12,193,Yahara,2,7.206222222,41,5.32,2.412953123,106.5265168
2016-07-19,202,Yahara,0.1,2.043555556,38.29,5.12,0.550793312,10.85421127
2016-07-19,202,Yahara,2,2.3232,38.68,5.08,0.355264946,13.06399636
2016-07-26,209,Yahara,0.1,5.485333333,37.73,5.36,1.26124008,9.779919886
2016-07-26,209,Yahara,2,4.425142857,38.01,5.16,0.823322613,21.1762784
2016-08-02,216,Yahara,0.1,0.595692308,37.23,4.94,0.743046922,10.77592661
2016-08-02,216,Yahara,2,1.521142857,37.43,5.08,0.769244062,10.82359384
2016-08-08,221,Yahara,0.1,1.989777778,37.01,4.85,0.94022022,12.40823616
2016-08-08,221,Yahara,2,2.904,36.66,4.92,0.954577961,12.67164915
2016-08-16,229,Yahara,0.1,2.057,37.09,5.09,1.836297851,14.90202725
2016-08-16,229,Yahara,2,3.710666667,36.67,5.08,1.689153398,12.67879085
2016-08-23,236,Yahara,0.1,2.581333333,37.73,4.77,1.108181675,25.91484465
2016-08-23,236,Yahara,2,2.996190476,38.59,4.68,1.153015288,29.22258421
2016-08-30,243,Yahara,0.1,1.903733333,38.54,4.89,1.063030433,20.79890467
2016-08-30,243,Yahara,2,3.105666667,41.49,5.29,1.877366521,24.5283617
2016-09-08,252,Yahara,0.1,4.275333333,48.55,6.02,2.655658826,142.306753
2016-09-08,252,Yahara,2,5.364333333,48.17,5.91,2.261881505,140.1468132
2016-09-12,256,Yahara,0.1,3.2912,40.35,4.71,0.850628434,93.78681736
2016-09-12,256,Yahara,2,5.696307692,41.35,4.74,0.625606831,105.0830914